Case #,Tl,Tv,L,V,alpha,w_MEA,y_H2O,y_CO2,H,VLE-lwm_coeff_1,VLE-lwm_coeff_2,VLE-lwm_coeff_3,VLE-lwm_coeff_4,surface_tension-surf_tens_CO2_coeff_1,surface_tension-surf_tens_CO2_coeff_2,surface_tension-surf_tens_CO2_coeff_3,surface_tension-surf_tens_CO2_coeff_4,surface_tension-surf_tens_CO2_coeff_5,surface_tension-surf_tens_CO2_coeff_6,surface_tension-surf_tens_F_coeff_a,surface_tension-surf_tens_F_coeff_b,surface_tension-surf_tens_F_coeff_c,surface_tension-surf_tens_F_coeff_d,surface_tension-surf_tens_F_coeff_e,surface_tension-surf_tens_F_coeff_f,surface_tension-surf_tens_F_coeff_g,surface_tension-surf_tens_F_coeff_h,surface_tension-surf_tens_F_coeff_i,surface_tension-surf_tens_F_coeff_j,molar_volume-vol_mol_liq_comp_coeff_a,molar_volume-vol_mol_liq_comp_coeff_b,molar_volume-vol_mol_liq_comp_coeff_c,molar_volume-vol_mol_liq_comp_coeff_d,molar_volume-vol_mol_liq_comp_coeff_e,viscosity-visc_d_coeff_a,viscosity-visc_d_coeff_b,viscosity-visc_d_coeff_c,viscosity-visc_d_coeff_d,viscosity-visc_d_coeff_e,viscosity-visc_d_coeff_f,viscosity-visc_d_coeff_g
33,312.12,320.67,0.6305,0.1385,0.30,0.31,0.014,0.14,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
34,316.68,320.42,0.5952,0.1145,0.29,0.32,0.013,0.10,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
35,316.85,320.16,0.7393,0.0858,0.27,0.29,0.013,0.10,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
36,313.28,321.40,0.7449,0.0742,0.29,0.30,0.015,0.11,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
37,311.73,318.09,0.6950,0.1271,0.32,0.31,0.013,0.13,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
38,315.59,321.95,0.6770,0.1450,0.24,0.31,0.016,0.13,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
39,313.54,317.13,0.7523,0.0644,0.32,0.28,0.010,0.12,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
40,316.27,321.63,0.7052,0.1549,0.27,0.30,0.014,0.12,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
41,311.72,317.30,0.6606,0.1039,0.23,0.30,0.013,0.13,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
42,312.22,321.20,0.7551,0.0995,0.33,0.30,0.015,0.12,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
43,314.77,317.36,0.6890,0.1333,0.24,0.31,0.015,0.12,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
44,316.52,321.07,0.6400,0.1192,0.29,0.32,0.016,0.13,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
45,311.25,318.61,0.5795,0.0554,0.28,0.31,0.011,0.12,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
46,314.52,319.14,0.6918,0.1509,0.24,0.31,0.014,0.11,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
47,313.28,317.66,0.7329,0.1327,0.28,0.29,0.015,0.11,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
48,316.34,321.91,0.5903,0.0780,0.31,0.29,0.014,0.13,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
49,311.50,320.86,0.5768,0.1187,0.27,0.30,0.013,0.14,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
50,314.98,319.67,0.7111,0.0930,0.30,0.31,0.014,0.13,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
