L,alpha,y_CO2,G,w_MEA,CO2_Cap,Sim_time,L_G,CO2_Error
183.3839345,0.14222505,0.070583681,83.52411866,0.295486571,0.9038,9.7,2.195580599,0.0165
183.3839345,0.14222505,0.070583681,83.52411866,0.29716123,0.9078,9.6,2.195580599,0.0109
178.0044055,0.131985555,0.07601054,81.6656673,0.307160568,0.907,9.4,2.179672455,0.008
199.8259163,0.131985555,0.07601054,81.6656673,0.307160568,0.9271,11.3,2.446877898,0.0269
178.0044055,0.161404419,0.07601054,81.6656673,0.307160568,0.8526,14.1,2.179672455,0.0036
178.0044055,0.131985555,0.061893301,81.6656673,0.307160568,0.9994,392.9,2.179672455,0.002
178.0044055,0.131985555,0.07601054,87.24709988,0.307160568,0.8518,10.5,2.040232922,0.0012
178.0044055,0.131985555,0.07601054,81.6656673,0.307086334,0.9068,9.4,2.179672455,0.0086
178.0044055,0.161404419,0.061893301,87.24709988,0.307086334,0.9486,13.2,2.040232922,0.0159
199.8259163,0.131985555,0.061893301,87.24709988,0.307086334,0.9953,596.1,2.290344511,0.0163
199.8259163,0.161404419,0.07601054,87.24709988,0.307086334,0.8186,13.9,2.290344511,0.0067
199.8259163,0.161404419,0.061893301,81.6656673,0.307086334,0.9964,14.7,2.446877898,0.0179
199.8259163,0.161404419,0.061893301,87.24709988,0.307160568,0.9664,13.5,2.290344511,0.0125
199.8259163,0.161404419,0.061893301,87.24709988,0.307086334,0.9663,13.5,2.290344511,0.0178
183.8955343,0.156111777,0.074285854,84.26299453,0.304982641,0.8552,14.3,2.182399704,0.0001
186.3597918,0.156111777,0.074285854,84.26299453,0.304982641,0.8577,14.3,2.21164454,0.0003
183.8955343,0.145007061,0.074285854,84.26299453,0.304982641,0.8758,9.6,2.182399704,0.0109
183.8955343,0.156111777,0.074539336,84.26299453,0.304982641,0.8534,13.6,2.182399704,0.0141
183.8955343,0.156111777,0.074285854,80.16305327,0.304982641,0.8968,10.8,2.294018588,0.0172
183.8955343,0.156111777,0.074285854,84.26299453,0.281923813,0.8024,11.4,2.182399704,0.0046
183.8955343,0.145007061,0.074539336,80.16305327,0.281923813,0.8608,9.2,2.294018588,0.0109
186.3597918,0.156111777,0.074539336,80.16305327,0.281923813,0.8429,9.8,2.324759152,0.0072
186.3597918,0.145007061,0.074285854,80.16305327,0.281923813,0.8655,8.6,2.324759152,0.0026
186.3597918,0.145007061,0.074539336,84.26299453,0.281923813,0.8231,9.7,2.21164454,0.0038
186.3597918,0.145007061,0.074539336,80.16305327,0.304982641,0.9181,9.2,2.324759152,0.0012
186.3597918,0.145007061,0.074539336,80.16305327,0.281923813,0.8635,9.2,2.324759152,0.0021
186.0333681,0.139013335,0.064026687,87.37900257,0.292683938,0.9402,11.1,2.129039731,0.0045
170.620783,0.139013335,0.064026687,87.37900257,0.292683938,0.9205,11.5,1.952651987,0.0049
186.0333681,0.166061351,0.064026687,87.37900257,0.292683938,0.8894,12,2.129039731,0.0153
186.0333681,0.139013335,0.062917807,87.37900257,0.292683938,0.9524,11.3,2.129039731,0.0085
186.0333681,0.139013335,0.064026687,89.04749632,0.292683938,0.9248,9.7,2.089147655,0.0025
186.0333681,0.139013335,0.064026687,87.37900257,0.311992981,0.9791,9.4,2.129039731,0.0286
186.0333681,0.166061351,0.062917807,89.04749632,0.311992981,0.9308,12.6,2.089147655,0.0005
170.620783,0.139013335,0.062917807,89.04749632,0.311992981,0.962,12.6,1.916064909,0.0045
170.620783,0.166061351,0.064026687,89.04749632,0.311992981,0.8996,12.6,1.916064909,0.0173
170.620783,0.166061351,0.062917807,87.37900257,0.311992981,0.9283,12.7,1.952651987,0.0005
170.620783,0.166061351,0.062917807,89.04749632,0.292683938,0.866,10.9,1.916064909,0.0035
170.620783,0.166061351,0.062917807,89.04749632,0.311992981,0.9124,13.1,1.916064909,0.011
203.4030509,0.169303532,0.078125716,79.95269358,0.288902375,0.8179,18.1,2.544042505,0.0205
178.0765867,0.169303532,0.078125716,79.95269358,0.288902375,0.7944,13.6,2.227274389,0.001
203.4030509,0.139520169,0.078125716,79.95269358,0.288902375,0.8729,8.6,2.544042505,0.0011
203.4030509,0.169303532,0.065493646,79.95269358,0.288902375,0.945,19.5,2.544042505,0.002
203.4030509,0.169303532,0.078125716,90.34038663,0.288902375,0.7258,18.6,2.25151849,0.0028
203.4030509,0.169303532,0.078125716,79.95269358,0.302067084,0.8463,18.8,2.544042505,0.0052
203.4030509,0.139520169,0.065493646,90.34038663,0.302067084,0.9304,11.1,2.25151849,0.0158
178.0765867,0.169303532,0.065493646,90.34038663,0.302067084,0.8514,9.5,1.971173618,0.0036
178.0765867,0.139520169,0.078125716,90.34038663,0.302067084,0.7812,13.2,1.971173618,0.0043
178.0765867,0.139520169,0.065493646,79.95269358,0.302067084,0.9936,285.2,2.227274389,0.0186
178.0765867,0.139520169,0.065493646,90.34038663,0.288902375,0.876,12.8,1.971173618,0.0006
178.0765867,0.139520169,0.065493646,90.34038663,0.302067084,0.9077,14.1,1.971173618,0.0045
